No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
1492	4	753	78.55	78.55	0.003976043160966898	0.25	0.03478514359132537	0.07
1493	2	391	78.65	78.66	0.011928129482900694	0.15	0.10435543077397609	0.05
1494	4	754	78.65	78.65	0.003976043160966898	0.375	0.03478514359132537	0.1
1495	3	188	78.75	78.75	0.007952086321933796	0.2	0.06957028718265074	0.04
1496	4	755	78.75	78.76	0.003976043160966898	0.375	0.03478514359132537	0.11
1497	4	756	78.85	78.85	0.003084058674756107	0.25	0.03363626757308587	0.07
1498	2	392	78.95	78.96	0.011928129482900694	0.3	0.10435543077397609	0.09
1499	4	757	78.95	78.95	0.003976043160966898	0.5	0.03478514359132537	0.13
1500	4	758	79.05	79.05	0.003084058674756107	0.125	0.03363626757308587	0.04
1501	2	393	79.15	79.16	0.011928129482900694	0.15	0.10435543077397609	0.05
1502	4	759	79.15	79.15	0.003976043160966898	0.25	0.03478514359132537	0.07
1503	3	189	79.25	79.25	0.007952086321933796	0.1	0.06957028718265074	0.03
1504	1	80	79.25	79.26	0.015904172643867592	0.2	0.13914057436530147	0.06
1505	4	760	79.35	79.35	0.003976043160966898	0.125	0.03478514359132537	0.04
1506	2	394	79.35	79.36	0.011928129482900694	0.225	0.10435543077397609	0.07
1507	2	395	79.45	79.46	0.011928129482900694	0.3	0.10435543077397609	0.09
1508	4	761	79.45	79.45	0.003976043160966898	0.5	0.03478514359132537	0.13
1509	4	762	79.55	79.55	0.003084058674756107	0.125	0.03363626757308587	0.04
1510	2	396	79.65	79.66	0.011928129482900694	0.225	0.10435543077397609	0.07
1511	2	397	79.7	79.71	0.01726677544551137	0.075	0.11123160677381866	0.02
1512	3	190	79.7	79.72	0.011511183630340911	0.1	0.0741544045158791	0.04
1513	4	763	79.65	79.65	0.003976043160966898	0.375	0.03478514359132537	0.1
1514	4	764	79.7	79.7	0.0057555918151704554	0.25	0.03707720225793955	0.07
1515	1	81	79.7	79.73	0.023022367260681822	0.2	0.1483088090317582	0.08
1516	4	765	79.8	79.8	0.003976043160966898	0.25	0.03478514359132537	0.07
1517	2	398	79.8	79.81	0.011928129482900694	0.3	0.10435543077397609	0.09
1518	4	766	79.9	79.91	0.003976043160966898	0.125	0.03478514359132537	0.05
1519	3	191	79.9	79.9	0.007952086321933796	0.3	0.06957028718265074	0.07
1520	2	399	80.0	80.01	0.011928129482900694	0.15	0.10435543077397609	0.05
1521	4	767	80.0	80.0	0.003976043160966898	0.25	0.03478514359132537	0.07
1522	2	400	80.1	80.11	0.011928129482900694	0.3	0.10435543077397609	0.09
